lang|text|created_at
en|"RT @ColMorrisDavis: Is the @realDonaldTrump crowd in Scranton chanting ""pack it up?""  Geez, at least let the guy finish the race.… "|Tue Nov 08 01:20:50 +0000 2016
en|RT @TheUSARocks: Wonder how many MILLIONS of email accounts have been cleaned out since @realDonaldTrump is coming to the WH to #drainthesw…|Tue Nov 08 01:20:50 +0000 2016
en|RT @CIDdrWHO: Hillary Clinton Cancels Victory Fireworks Show https://t.co/ztSyDgiGU7|Tue Nov 08 01:20:50 +0000 2016
en|RT @QualityStrange: #ImVotingBecause this collusion is UNACCEPTABLE. #PodestaEmails34 #MAGA https://t.co/kyBnamEw8F|Tue Nov 08 01:20:50 +0000 2016
en|RT @UmbilicalKordei: if the girls don't take the opportunity to build an election themed performance for the AMAs after hillary is elected,…|Tue Nov 08 01:20:50 +0000 2016
en|"RT @TeamTrump: .@realDonaldTrump packs Scranton, Pennsylvania rally to the rafters #MAGA
https://t.co/Ou4NEwS8GM"|Tue Nov 08 01:20:50 +0000 2016
en|RT @LosinDonald: Clinton is leading in a greater portion of polls than Obama was in the last two elections https://t.co/mIDKLc7Oij via @Huf…|Tue Nov 08 01:20:50 +0000 2016
en|RT @ScottAdamsSays: Tomorrow America gets to vote for the candidate who will bully our adversaries versus the one who bullies Americans. #T…|Tue Nov 08 01:20:50 +0000 2016
en|"RT @onlxn: SARANDON: Unconditional military aid to Israel.
HILLARY: Best shot at a solution is to butter Bibi up first.
SARANDON: Gross.
HI…"|Tue Nov 08 01:20:50 +0000 2016
en|@jonygitar @realDonaldTrump Never polled once in this entire election- since last year, not even ONCE. That's okay, I'll #VOTETRUMP2016|Tue Nov 08 01:20:50 +0000 2016
en|@HillaryClinton @POTUS #lol what #fbiemail does she have on you? #https://m.youtube.com/watch?v=-i3LHrWR1NA #spiritcooking #draintheswamp|Tue Nov 08 01:20:50 +0000 2016
en|RT @WDFx2EU8: Longtime Clinton Aid: If America Read All of Hillary's Emails She Could ‘LOSE 49 STATES’ https://t.co/nzEhvTGpT6|Tue Nov 08 01:20:50 +0000 2016
en|"RT @willyclicks: A Vote For Hillary is a Vote For World War 3! 

Are you 'with her' nuclear holocaust?

https://t.co/0M5FBW1y7j

#HillaryCl…"|Tue Nov 08 01:20:50 +0000 2016
en|"@FromSoCalif ""Hillary's America"" The full movie
https://t.co/vswfs7t7iD"|Tue Nov 08 01:20:50 +0000 2016
en|RT @HillaryforOH: Rose escaped Nazi Germany at 15 &amp; is a proud American! Despite a recent broken hip, she just proudly cast her ballo… |Tue Nov 08 01:20:50 +0000 2016
en|RT @Madonna: Meet me in Washington Square Park at 7:30 Let's Go Hard For Hillary Clinton! 🇺🇸🙏🏻🎉🎉🎉🎉🎉🎉🎉🇺🇸🇺🇸🇺🇸🏃🏃🏃🏃🏃🏃 https://t.co/3czBXlaWsR|Tue Nov 08 01:20:50 +0000 2016
en|"RT @theglobaluniter: #ElectionFinalThoughts 

#Wisconsin 
#Michigan 
#Pennsylvania 

Fire the Special Interest &amp;

Fire #HillaryClinton… "|Tue Nov 08 01:20:50 +0000 2016
