lang|text|created_at
en|RT @FoxNews: Fox News #ExitPoll: Top candidate quality: Can Bring Change - @realDonaldTrump wins 82%. #ElectionNight… |Tue Nov 08 23:16:03 +0000 2016
en|"RT @killinskin: Exit polls set to start coming out.

IGNORE them either way.

Don't get depressed.

Don't get comfortable.

Go… "|Tue Nov 08 23:16:03 +0000 2016
en|"RT @Montanna_Paigee: ""Dad why do u hate Hillary?"" https://t.co/hVlHToC4ee"|Tue Nov 08 23:16:03 +0000 2016
en|@Patriot_Ink @EvelynGarone @realDonaldTrump has awakened a giant known as the middle class|Tue Nov 08 23:16:03 +0000 2016
en|I'm a tad frightened by the number of tweets encouraging support for #Trump #ElectionNight https://t.co/7rCewH2MG2|Tue Nov 08 23:16:03 +0000 2016
en|RT @MeninistTweet: when a feminist is asked why they are voting for hillary besides the fact that she's a woman https://t.co/8I3R5uzOWa|Tue Nov 08 23:16:03 +0000 2016
en|RT @fkahucci: there's so much dirt on hillary that have NOTHING to do w/ her emails open ur eyes !!!!! there's no shortage of her fuck ups|Tue Nov 08 23:16:04 +0000 2016
en|RT @souljaboy: I hope Hillary win fuck trump stupid ass|Tue Nov 08 23:16:03 +0000 2016
en|RT @FoxNews: Fox News #ExitPoll: Top candidate quality: Can Bring Change - @realDonaldTrump wins 82%. #ElectionNight… |Tue Nov 08 23:16:03 +0000 2016
en|"RT @TEN_GOP: 🚨BREAKING: Big news from New Hampshire! Trump leads Hillary Clinton 52-41‼️

#ElectionNight #IVoted https://t.co/2cD9VHMDws"|Tue Nov 08 23:16:04 +0000 2016
en|"&gt;This rum is sinking in&lt;
Please #HillaryClinton MAKE IT HAPPEN!!! #TheWorldWantsHillary #USElection2016"|Tue Nov 08 23:16:04 +0000 2016
en|RT @MrsVanessaTrump: I'm so proud to support and stand behind my father in law @realDonaldTrump !Make America Great Again!#Vote2016 #VoteTr…|Tue Nov 08 23:16:03 +0000 2016
en|@ParisHilton @melindagates @RoyalFamily @HillaryClinton @HeforShe @FLOTUS @NickyHilton @timkaine @KyleRichards @BarronHilton May Your vote B|Tue Nov 08 23:16:03 +0000 2016
en|RT @FoxNews: Fox News #ExitPoll: Top candidate quality: Can Bring Change - @realDonaldTrump wins 82%. #ElectionNight… |Tue Nov 08 23:16:03 +0000 2016
en|"RT @misheardhamilto: and if you were to ask me who i'd promote?
hillary has my vote #ElectionDay"|Tue Nov 08 23:16:04 +0000 2016
