lang|text|created_at
en|@Jordan_Murphy fuck Hillary Clinton and all fucking Hillary Clinton voters|Tue Nov 08 23:10:33 +0000 2016
en|"RT @Simon_Pegg: World: US Election today.
UK: Toblerone.
World: Trump has a chance...
UK: Toblerone.
World: ... But, Hillary...
UK: TOBLERO…"|Tue Nov 08 23:10:33 +0000 2016
en|RT @WDFx2EU8: @VivaDelBoring  Right I need some damn sleep. Good to see Hillary will be winning. If I wake up to Trump's smiling face I'll…|Tue Nov 08 23:10:33 +0000 2016
en|RT @FauxPelini: .@realDonaldTrump When I pressed Trump the touchscreen burned my finger and said ERROR &amp; when I pressed Clinton a lady gave…|Tue Nov 08 23:10:33 +0000 2016
en|"RT @CloydRivers: To everyone who wants to vote for Hillary just to keep Trump from becomin' President, watch this...
https://t.co/TuUpD7Qgcg"|Tue Nov 08 23:10:33 +0000 2016
en|"RT @JohnRiversToo: Democrats do this every election.
Wherever they need more votes, the Courts let them vote longer. https://t.co/1lYhMCTptk"|Tue Nov 08 23:10:33 +0000 2016
en|RT @TheWorldOfFunny: Hillary Clinton really did the #MannequinChallenge on #ElectionDay😂 https://t.co/rYVq0sC4U5|Tue Nov 08 23:10:33 +0000 2016
en|RT @souljaboy: I hope Hillary win fuck trump stupid ass|Tue Nov 08 23:10:33 +0000 2016
en|Polls disappear showing major Hillary collapse among likely voters on election day... https://t.co/R7m3FMD3rn @mitchellvii|Tue Nov 08 23:10:33 +0000 2016
en|RT @DonaldJTrumpJr: Job creation is a major issue of this campaign. Why don't we elect a President who has actually created jobs before? #T…|Tue Nov 08 23:10:33 +0000 2016
en|RT @ParksPics: BREAKING HILLARY CLINTON NEWS THAT COULD COST HER THE ELECTION https://t.co/tdjwZ6McOc|Tue Nov 08 23:10:33 +0000 2016
en|RT @eliteli9: Please read. I understand that many dislike Trump for good reasons, but before you vote for Hillary here are a coup… |Tue Nov 08 23:10:33 +0000 2016
en|Can't help but laugh when I see Trump supporters saying they will move to Canada if Hillary gets elected. #Ohoktru|Tue Nov 08 23:10:33 +0000 2016
en|RT @FoxNews: Fox News #ExitPoll: Top candidate quality: Can Bring Change - @realDonaldTrump wins 82%. #ElectionNight… |Tue Nov 08 23:10:33 +0000 2016
en|RT @alaskantexanQCT: #ElectionDay @HillaryClinton and all the pollsters severely underestimated how pissed off WE THE PEOPLE are!!… |Tue Nov 08 23:10:33 +0000 2016
en|"RT @The__Prototype: Hillary: So y'all only with me cuz y'all hate Trump?

Us: https://t.co/zqfFCAAOAV"|Tue Nov 08 23:10:33 +0000 2016
en|@SoxofWhite @realDonaldTrump @CNN if he thinks Utah is a country than we are in serious trouble if he is elected|Tue Nov 08 23:10:33 +0000 2016
en|"RT @mariammbash: Donald; you spelt Donald wrong

Melanie; no baby, Hillary is short for Donald in Spanish 

Donald; oh 

#ElectionDay https…"|Tue Nov 08 23:10:33 +0000 2016
en|RT @GrammaShan: #ImVotingBecause My Son deserves a President he can #trust Like @realDonaldTrump NOT one who will leave him behind… |Tue Nov 08 23:10:33 +0000 2016
en|"RT @TeamTrump: ""America needs a turnaround, America needs a comeback, America needs a change."" - @realDonaldTrump #MAGA… "|Tue Nov 08 23:10:34 +0000 2016
en|Read this. https://t.co/Puh8S5PjHz|Tue Nov 08 23:10:33 +0000 2016
en|RT @FreddyAmazin: Rihanna wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton 😂 https://t.co/UFcFkP6js1|Tue Nov 08 23:10:33 +0000 2016
en|RT @FoxNews: “People are sick and tired of establishment politicians.” - @realDonaldTrump's daughter-in-law Lara Trump on… |Tue Nov 08 23:10:33 +0000 2016
en|RT @souljaboy: I hope Hillary win fuck trump stupid ass|Tue Nov 08 23:10:34 +0000 2016
en|Trump &amp; Hillary Halloween Costumes https://t.co/2lGAGw3FXV via @YouTube    BRILLIANT!|Tue Nov 08 23:10:33 +0000 2016
en|"RT @DonaldJTrumpJr: If you have friends in MI, OH, FL, PA -- CALL THEM and tell them to VOTE TRUMP! 

You can make a difference! #MAGA #Tru…"|Tue Nov 08 23:10:33 +0000 2016
en|RT @Jessica911Eliza: #ElectionNight I'm on a tweeting spree right now. #MakeAmericaGreatAgain|Tue Nov 08 23:10:34 +0000 2016
en|RT @HillaryClinton: Everything we’ve worked toward comes down to today. RT this if you're voting for Hillary: https://t.co/jfd3CXLD1s https…|Tue Nov 08 23:10:34 +0000 2016
en|RT @FoxNews: Earlier today on @foxandfriends, Rudy Giuliani called #HillaryClinton a Washington insider. #Election2016 https://t.co/Ma1oWYk…|Tue Nov 08 23:10:34 +0000 2016
en|RT @WeLoveRobDyrdek: When you have to vote for Trump or Hillary #ElectionDay  https://t.co/khWIuhyETH|Tue Nov 08 23:10:34 +0000 2016
