lang|text|created_at
en|"RT @The__Prototype: Hillary: So y'all only with me cuz y'all hate Trump?

Us: https://t.co/zqfFCAAOAV"|Tue Nov 08 23:04:48 +0000 2016
en|RT @worldgoneweird: Yeah and ICE IS PICKING UP ILLEGALS RIGHT AND LEFT IT'S A GREAT WAY TO TRAP THEM get their prints then citizenship… |Tue Nov 08 23:04:48 +0000 2016
en|Yet more proof that racism is alive and well in America and often times most prevalent from the top down. I hope th… https://t.co/Boksv1YPHa|Tue Nov 08 23:04:47 +0000 2016
en|RT @NewtTrump: RETWEET THIS LIKE CRAZY: Hillary's guilty of 70-100 violations of the US Constitution's Emoluments Clause and the m… |Tue Nov 08 23:04:47 +0000 2016
en|Made a bet with dad if trump wins we move to San Antonio if Hillary wins we stay.|Tue Nov 08 23:04:48 +0000 2016
en|RT @RepCoriFournier: Disgusted with @CNNPolitics @CNN continue pushing Trump Rhetoric! Boasting Hillary even after #DNCLeaks… |Tue Nov 08 23:04:47 +0000 2016
en|RT @AyooArie: Hillary winning this election.|Tue Nov 08 23:04:48 +0000 2016
en|"RT @musicnews_facts: Trump supporters are calling out Hillary Clinton and Lady Gaga for wearing this ""Nazi Hitler"" uniform... When it's… "|Tue Nov 08 23:04:48 +0000 2016
en|RT @tyboyd_1: If you can, get out and vote today!!! #MakeAmericaGreatAgain|Tue Nov 08 23:04:48 +0000 2016
en|"RT @Montanna_Paigee: ""Dad why do u hate Hillary?"" https://t.co/hVlHToC4ee"|Tue Nov 08 23:04:48 +0000 2016
en|RT @millaysian: if we honestly want to #MakeAmericaGreatAgain we'd bring back Lime Skittles and dump this Green Apple bullshit|Tue Nov 08 23:04:48 +0000 2016
en|"RT @KenAdachi1: Breaking, Ohio caller ""Jim"" reporting that Soros Sequoia machines flipping
ALL votes from Trump to Hillary! 
https://t.co/d…"|Tue Nov 08 23:04:48 +0000 2016
en|RT @patriot101: I voted for #Arpaio  and #Trump. So did Sister and Brother in Law.  We can NOT continue a lawless country.|Tue Nov 08 23:04:48 +0000 2016
en|RT @ladies4trump: I got 15 ppl in my family that voted #Trump in FL. With 29 electoral votes- we need FL!!! #ElectionDay #GoTrump|Tue Nov 08 23:04:48 +0000 2016
en|RT @armandodkos: Woot! https://t.co/RZkIMd9xNk|Tue Nov 08 23:04:48 +0000 2016
en|RT @FrankieJGrande: It's #ElectionDay GO OUT AND VOTE! #myvote2016 went to @HillaryClinton. 🇺🇸👍💙 https://t.co/jHfZaAfIid https://t.co/lxPCq…|Tue Nov 08 23:04:48 +0000 2016
en|"RT @ArtoftheDealPAC: FOX EXIT POLL: 62% say @HillaryClinton email issue ""bothers"" them

#ElectionDay https://t.co/ldYea90ehS"|Tue Nov 08 23:04:48 +0000 2016
en|Omg, this says it all about Hillary! Great job. 👍🏻👍🏻👍🏻🙏🏻🙏🏻🙏🏻🇺🇸🇺🇸🇺🇸 https://t.co/PAcmCQCYj6|Tue Nov 08 23:04:48 +0000 2016
en|RT @vbrucet: I'm actually terrified at the thought of Hillary being president.|Tue Nov 08 23:04:48 +0000 2016
en|RT @TooMarvelously: I came from a third world country, i lived it, seen it... FIGHT FOR THIS COUNTRY! #MAGA VOTE @realDonaldTrump 🇺🇸🇺🇸… |Tue Nov 08 23:04:48 +0000 2016
en|RT @BetinaXoxox: Get out there and represent!  MAGA! https://t.co/Zv0ibtBnx1|Tue Nov 08 23:04:48 +0000 2016
en|#RT #Follow Bill Clinton Jokes About Being First Lady as He and Hillary Cast Their Votes - Breitbart News… https://t.co/YloHjFcgi0|Tue Nov 08 23:04:48 +0000 2016
en|Who's it going to be? #trump or #Clinton|Tue Nov 08 23:04:48 +0000 2016
en|RT @cp2austin: If ya haven't yet voted please consider #Hillary could have 3 to 4 Supreme Court Justices to nominate. We'll need a #Dems Se…|Tue Nov 08 23:04:48 +0000 2016
en|I added a video to a @YouTube playlist https://t.co/Asvi81AgbB Donald Trump vs Hillary Clinton. Epic Rap Battles of History.|Tue Nov 08 23:04:48 +0000 2016
en|RT @heavenrants: iconic https://t.co/3GHzlLDnL0|Tue Nov 08 23:04:48 +0000 2016
en|RT @wesearchr: DEMS BUSING IN PEOPLE FROM #NYC TO VOTE IN #PHILLY?! https://t.co/kLm19HEmZT #ElectionFraud #VoteTrump #Trump #MAGA #MAGA3X…|Tue Nov 08 23:04:48 +0000 2016
en|Why are instagram sponsors only supporting Clinton? @realDonaldTrump|Tue Nov 08 23:04:48 +0000 2016
en|RT @chanelpuke: We don't want Trump, we don't want Hillary, we just want Cory back in the house.|Tue Nov 08 23:04:48 +0000 2016
en|"RT @kaattxo: ""Hillary for prison"" says the frat boy as he snorts a line of Coke and sells xanax to his campus"|Tue Nov 08 23:04:48 +0000 2016
en|RT @pastormarkburns: Thank you so much President @realDonaldTrump.! To God Be The Glory for you! The Holy Spirit is with You! #TrumpTrain h…|Tue Nov 08 23:04:48 +0000 2016
en|@FuturisticHub @KevinLevin @realDonaldTrump ur so stupid|Tue Nov 08 23:04:48 +0000 2016
en|RT @erikajayne: Let em know @LaganjaEstranja https://t.co/XqRxz83s8C|Tue Nov 08 23:04:48 +0000 2016
en|@realDonaldTrump TRUMP WILL WIN|Tue Nov 08 23:04:48 +0000 2016
en|Predictions: Trump takes Ohio, Hillary takes Florida and North Carolina. Not sure about Pennsylvania.|Tue Nov 08 23:04:48 +0000 2016
en|@Trump Oh say can you see to keep the value of your real estate up and not drop like a rock, at 9pm conceed quickly and well. #Hillary#USA|Tue Nov 08 23:04:49 +0000 2016
